iter	Passed	Remaining
0	96	96403
1	138	69089
2	181	60267
3	225	56222
4	268	53366
5	310	51420
6	352	49963
7	394	48866
8	433	47686
9	475	47108
10	517	46566
11	559	46060
12	601	45704
13	647	45591
14	689	45257
15	732	45044
16	775	44814
17	818	44671
18	861	44482
19	903	44247
20	944	44010
21	987	43898
22	1032	43838
23	1074	43676
24	1117	43569
25	1160	43461
26	1207	43532
27	1254	43540
28	1296	43416
29	1339	43314
30	1383	43230
31	1419	42943
32	1462	42859
33	1507	42827
34	1554	42847
35	1599	42825
36	1641	42728
37	1686	42684
38	1732	42685
39	1779	42708
40	1822	42640
41	1866	42569
42	1912	42572
43	1959	42567
44	2002	42502
45	2046	42445
46	2089	42365
47	2131	42283
48	2177	42263
49	2229	42354
50	2271	42274
51	2315	42205
52	2358	42148
53	2400	42061
54	2444	42004
55	2486	41912
56	2528	41830
57	2571	41761
58	2613	41690
59	2657	41637
60	2700	41568
61	2744	41525
62	2788	41470
63	2832	41431
64	2874	41348
65	2917	41292
66	2951	41106
67	2993	41024
68	3035	40952
69	3077	40892
70	3121	40847
71	3164	40790
72	3211	40775
73	3252	40695
74	3294	40632
75	3338	40590
76	3381	40534
77	3424	40483
78	3465	40402
79	3508	40350
80	3556	40347
81	3599	40294
82	3642	40238
83	3685	40192
84	3730	40156
85	3773	40099
86	3816	40049
87	3859	39999
88	3901	39939
89	3944	39885
90	3986	39823
91	4028	39755
92	4070	39699
93	4112	39638
94	4156	39592
95	4202	39571
96	4243	39501
97	4285	39447
98	4326	39373
99	4374	39366
100	4414	39290
101	4456	39238
102	4498	39178
103	4541	39130
104	4585	39088
105	4626	39023
106	4670	38979
107	4713	38926
108	4755	38872
109	4798	38821
110	4839	38757
111	4882	38711
112	4923	38646
113	4966	38595
114	5009	38549
115	5051	38494
116	5093	38440
117	5135	38383
118	5178	38337
119	5220	38283
120	5261	38219
121	5291	38080
122	5333	38028
123	5368	37925
124	5411	37878
125	5451	37815
126	5497	37792
127	5540	37744
128	5583	37698
129	5626	37651
130	5668	37599
131	5709	37545
132	5751	37493
133	5799	37483
134	5840	37420
135	5882	37371
136	5926	37330
137	5969	37288
138	6012	37244
139	6053	37186
140	6096	37142
141	6144	37123
142	6187	37083
143	6230	37035
144	6271	36983
145	6308	36902
146	6353	36867
147	6396	36822
148	6438	36772
149	6482	36732
150	6529	36715
151	6565	36628
152	6608	36583
153	6655	36560
154	6699	36522
155	6746	36501
156	6790	36460
157	6831	36406
158	6874	36363
159	6917	36316
160	6959	36266
161	7003	36227
162	7046	36184
163	7090	36146
164	7138	36127
165	7182	36084
166	7224	36037
167	7267	35991
168	7309	35941
169	7352	35899
170	7397	35865
171	7439	35815
172	7481	35764
173	7524	35722
174	7566	35672
175	7610	35631
176	7653	35587
177	7695	35539
178	7739	35496
179	7781	35450
180	7824	35404
181	7867	35360
182	7908	35307
183	7953	35271
184	7992	35209
185	8036	35171
186	8080	35130
187	8120	35074
188	8164	35036
189	8207	34990
190	8250	34944
191	8291	34891
192	8334	34848
193	8375	34796
194	8417	34750
195	8461	34710
196	8503	34663
197	8553	34644
198	8592	34587
199	8634	34539
200	8678	34498
201	8722	34457
202	8766	34418
203	8810	34377
204	8851	34327
205	8895	34288
206	8941	34255
207	8984	34209
208	9028	34169
209	9069	34118
210	9116	34088
211	9159	34044
212	9200	33995
213	9246	33961
214	9289	33917
215	9332	33873
216	9378	33840
217	9419	33789
218	9462	33745
219	9505	33701
220	9548	33657
221	9591	33612
222	9632	33562
223	9674	33513
224	9715	33464
225	9759	33422
226	9801	33376
227	9844	33333
228	9887	33290
229	9933	33254
230	9976	33212
231	10017	33162
232	10060	33116
233	10102	33070
234	10147	33031
235	10190	32989
236	10233	32945
237	10275	32900
238	10319	32858
239	10360	32808
240	10403	32763
241	10445	32717
242	10487	32672
243	10530	32628
244	10571	32578
245	10614	32533
246	10657	32491
247	10702	32453
248	10745	32407
249	10787	32363
250	10832	32324
251	10875	32280
252	10920	32243
253	10963	32198
254	11005	32154
255	11049	32112
256	11090	32061
257	11138	32033
258	11181	31990
259	11222	31941
260	11262	31889
261	11307	31851
262	11350	31807
263	11394	31765
264	11436	31719
265	11478	31674
266	11521	31630
267	11565	31588
268	11608	31544
269	11649	31497
270	11694	31459
271	11736	31412
272	11779	31367
273	11822	31325
274	11866	31283
275	12010	31506
276	12077	31524
277	12130	31505
278	12181	31479
